Land Use,Region,Subzone,Planning Area,Geometry-Land Use,Geometry-Region,Geometry-Subzone,Geometry-Planning Area
RESIDENTIAL,NORTH-EAST REGION,SERANGOON GARDEN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SERANGOON GARDEN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SERANGOON GARDEN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,SWISS CLUB,BUKIT TIMAH,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SERANGOON GARDEN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,SWISS CLUB,BUKIT TIMAH,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SERANGOON GARDEN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SERANGOON GARDEN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SERANGOON GARDEN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SERANGOON GARDEN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SERANGOON GARDEN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,SWISS CLUB,BUKIT TIMAH,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SERANGOON GARDEN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,SWISS CLUB,BUKIT TIMAH,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SERANGOON GARDEN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,KEMBANGAN,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,NASSIM,TANGLIN,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,NASSIM,TANGLIN,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,SWISS CLUB,BUKIT TIMAH,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SERANGOON GARDEN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,NASSIM,TANGLIN,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SERANGOON GARDEN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,KEMBANGAN,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,NASSIM,TANGLIN,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SERANGOON GARDEN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,NASSIM,TANGLIN,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SERANGOON GARDEN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,NASSIM,TANGLIN,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,SWISS CLUB,BUKIT TIMAH,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,SWISS CLUB,BUKIT TIMAH,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,SWISS CLUB,BUKIT TIMAH,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SERANGOON GARDEN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SERANGOON GARDEN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SERANGOON GARDEN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SERANGOON GARDEN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SERANGOON GARDEN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,NASSIM,TANGLIN,Polygon,MultiPolygon,Polygon,Polygon
HOTEL,CENTRAL REGION,CITY HALL,DOWNTOWN CORE,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SERANGOON GARDEN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SERANGOON GARDEN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,KEMBANGAN,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SERANGOON GARDEN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
HOTEL,CENTRAL REGION,CITY HALL,DOWNTOWN CORE,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SERANGOON GARDEN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,KEMBANGAN,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SERANGOON GARDEN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SERANGOON GARDEN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
HOTEL,CENTRAL REGION,CITY HALL,DOWNTOWN CORE,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SERANGOON GARDEN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,NASSIM,TANGLIN,Polygon,MultiPolygon,Polygon,Polygon
HOTEL,CENTRAL REGION,CITY HALL,DOWNTOWN CORE,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SERANGOON GARDEN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SERANGOON GARDEN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SERANGOON GARDEN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,LEEDON PARK,BUKIT TIMAH,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SERANGOON GARDEN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,NASSIM,TANGLIN,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SERANGOON GARDEN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,LEEDON PARK,BUKIT TIMAH,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SERANGOON GARDEN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SERANGOON GARDEN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,LEEDON PARK,BUKIT TIMAH,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,KEMBANGAN,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,KEMBANGAN,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,KEMBANGAN,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,NASSIM,TANGLIN,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,KEMBANGAN,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,KEMBANGAN,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,KEMBANGAN,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SERANGOON GARDEN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SERANGOON GARDEN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SERANGOON GARDEN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,NASSIM,TANGLIN,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SERANGOON GARDEN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SERANGOON GARDEN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,KEMBANGAN,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SERANGOON GARDEN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SERANGOON GARDEN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,NASSIM,TANGLIN,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SERANGOON GARDEN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SERANGOON GARDEN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SERANGOON GARDEN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,KEMBANGAN,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SERANGOON GARDEN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SERANGOON GARDEN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SERANGOON GARDEN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,NASSIM,TANGLIN,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SERANGOON GARDEN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SERANGOON GARDEN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SERANGOON GARDEN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,NASSIM,TANGLIN,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SERANGOON GARDEN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SERANGOON GARDEN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SERANGOON GARDEN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SERANGOON GARDEN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SERANGOON GARDEN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,NASSIM,TANGLIN,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SERANGOON GARDEN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,NASSIM,TANGLIN,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SERANGOON GARDEN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
CIVIC & COMMUNITY INSTITUTION,CENTRAL REGION,INSTITUTION HILL,RIVER VALLEY,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SERANGOON GARDEN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,SWISS CLUB,BUKIT TIMAH,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SERANGOON GARDEN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SERANGOON GARDEN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,NASSIM,TANGLIN,Polygon,MultiPolygon,Polygon,Polygon
EDUCATIONAL INSTITUTION,CENTRAL REGION,INSTITUTION HILL,RIVER VALLEY,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SERANGOON GARDEN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SERANGOON GARDEN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,SWISS CLUB,BUKIT TIMAH,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,KEMBANGAN,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,KEMBANGAN,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SERANGOON GARDEN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,KEMBANGAN,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SERANGOON GARDEN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
COMMERCIAL,CENTRAL REGION,INSTITUTION HILL,RIVER VALLEY,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,SWISS CLUB,BUKIT TIMAH,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SERANGOON GARDEN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SERANGOON GARDEN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,KEMBANGAN,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,KEMBANGAN,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SERANGOON GARDEN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,KEMBANGAN,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,SWISS CLUB,BUKIT TIMAH,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,KEMBANGAN,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,KEMBANGAN,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,KEMBANGAN,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,KEMBANGAN,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SERANGOON GARDEN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,KEMBANGAN,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SERANGOON GARDEN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,NASSIM,TANGLIN,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SERANGOON GARDEN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,SWISS CLUB,BUKIT TIMAH,Polygon,MultiPolygon,Polygon,Polygon
OPEN SPACE,CENTRAL REGION,INSTITUTION HILL,RIVER VALLEY,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SERANGOON GARDEN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SERANGOON GARDEN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SERANGOON GARDEN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,NASSIM,TANGLIN,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SERANGOON GARDEN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,SWISS CLUB,BUKIT TIMAH,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,LEEDON PARK,BUKIT TIMAH,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SERANGOON GARDEN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SERANGOON GARDEN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SERANGOON GARDEN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,NASSIM,TANGLIN,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SERANGOON GARDEN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SERANGOON GARDEN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SERANGOON GARDEN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,KEMBANGAN,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SERANGOON GARDEN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SERANGOON GARDEN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SERANGOON GARDEN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,NASSIM,TANGLIN,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SERANGOON GARDEN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SERANGOON GARDEN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SERANGOON GARDEN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,KEMBANGAN,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SERANGOON GARDEN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,NASSIM,TANGLIN,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SERANGOON GARDEN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SERANGOON GARDEN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,KEMBANGAN,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,KEMBANGAN,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SERANGOON GARDEN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SERANGOON GARDEN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,NASSIM,TANGLIN,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SERANGOON GARDEN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,KEMBANGAN,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,KEMBANGAN,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SERANGOON GARDEN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,KEMBANGAN,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,KEMBANGAN,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SERANGOON GARDEN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,KEMBANGAN,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,KEMBANGAN,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SERANGOON GARDEN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,KEMBANGAN,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,KEMBANGAN,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SERANGOON GARDEN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,KEMBANGAN,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,KEMBANGAN,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SERANGOON GARDEN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,KEMBANGAN,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,NASSIM,TANGLIN,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,KEMBANGAN,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SERANGOON GARDEN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,KEMBANGAN,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SERANGOON GARDEN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SERANGOON GARDEN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SERANGOON GARDEN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,KEMBANGAN,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SERANGOON GARDEN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,KEMBANGAN,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,KEMBANGAN,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,NASSIM,TANGLIN,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SERANGOON GARDEN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,KEMBANGAN,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SERANGOON GARDEN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SERANGOON GARDEN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SERANGOON GARDEN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,KEMBANGAN,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,NASSIM,TANGLIN,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SERANGOON GARDEN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,KEMBANGAN,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,KEMBANGAN,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,KEMBANGAN,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SERANGOON GARDEN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,KEMBANGAN,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,KEMBANGAN,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,KEMBANGAN,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SERANGOON GARDEN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,LEEDON PARK,BUKIT TIMAH,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SERANGOON GARDEN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,NASSIM,TANGLIN,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,NASSIM,TANGLIN,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SERANGOON GARDEN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,NASSIM,TANGLIN,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,NASSIM,TANGLIN,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SERANGOON GARDEN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,KEMBANGAN,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,NASSIM,TANGLIN,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,NASSIM,TANGLIN,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,NASSIM,TANGLIN,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SERANGOON GARDEN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,NASSIM,TANGLIN,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,NASSIM,TANGLIN,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,LEEDON PARK,BUKIT TIMAH,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SERANGOON GARDEN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,KEMBANGAN,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
