Town name,BTO name,Project type,Launch date,Estimated completion date,Type,Total,Full brochure,Launch brochure,Notes & Errata
Tengah,Plantation Grange,HS-BTO,12 Nov 2019,3Q 2022 - 4Q 2022,non-m,1140,"<a href=""/hdb-brochures/bto-2019-11/Plantation_Grange.pdf"" target=""_blank"">brochure</a>",,
Tengah,Plantation Village,HS-BTO,12 Nov 2019,4Q 2022 - 1Q 2023,non-m,1420,"<a href=""/hdb-brochures/bto-2019-11/Plantation_Village.pdf"" target=""_blank"">brochure</a>",,
Ang Mo Kio,Yio Chu Kang Beacon,HS-BTO,12 Nov 2019,4Q 2023,mature,454,"<a href=""/hdb-brochures/bto-2019-11/Yio_Chu_Kang_Beacon.pdf"" target=""_blank"">brochure</a>",,
Tampines,Tampines GreenSpring,HS-BTO,12 Nov 2019,4Q 2022 - 1Q 2023,mature,657,"<a href=""/hdb-brochures/bto-2019-11/Tampines_GreenSpring.pdf"" target=""_blank"">brochure</a>",,
Punggol,Punggol Point Cove,HS-BTO,11 Sep 2019,4Q 2023 - 1Q 2024,non-m,1179,"<a href=""/hdb-brochures/bto-2019-09/Punggol_Point_Cove.pdf"" target=""_blank"">brochure</a>",,
Punggol,Punggol Point Crown,HS-BTO,11 Sep 2019,3Q 2023 - 4Q 2023,non-m,1545,"<a href=""/hdb-brochures/bto-2019-09/Punggol_Point_Crown.pdf"" target=""_blank"">brochure</a>",,
Tampines,Tampines GreenGlen,HS-BTO,11 Sep 2019,1Q 2023 - 2Q 2023,mature,649,"<a href=""/hdb-brochures/bto-2019-09/Tampines_GreenGlen.pdf"" target=""_blank"">brochure</a>",,
Tengah,Garden Vale @ Tengah,HS-BTO,22 May 2019,2Q 2023 - 3Q 2023,non-m,987,"<a href=""/hdb-brochures/bto-2019-05/Garden_Vale_@_Tengah.pdf"" target=""_blank"">brochure</a>",,
Tengah,Plantation Acres,HS-BTO,22 May 2019,3Q 2022 - 4Q 2022,non-m,1193,"<a href=""/hdb-brochures/bto-2019-05/Plantation_Acres.pdf"" target=""_blank"">brochure</a>",,
Woodlands,Champions Green,HS-BTO,22 May 2019,3Q 2023 - 4Q 2023,non-m,722,"<a href=""/hdb-brochures/bto-2019-05/Champions_Green.pdf"" target=""_blank"">brochure</a>",,
Kallang/Whampoa,Kempas Residences,HS-BTO,22 May 2019,2Q 2024 - 3Q 2024,mature,583,"<a href=""/hdb-brochures/bto-2019-05/Kempas_Residences.pdf"" target=""_blank"">brochure</a>",,
Jurong West,Boon Lay Glade,HS-BTO,12 Feb 2019,3Q 2022,non-m,775,"<a href=""/hdb-brochures/bto-2019-02/Boon_Lay_Glade.pdf"" target=""_blank"">brochure</a>",,
Jurong West,Jurong West Jewel,HS-BTO,12 Feb 2019,2Q 2022,non-m,599,"<a href=""/hdb-brochures/bto-2019-02/Jurong_West_Jewel.pdf"" target=""_blank"">brochure</a>",,
Sengkang,Fernvale Vines,HS-BTO,12 Feb 2019,4Q 2022 - 1Q 2023,non-m,933,"<a href=""/hdb-brochures/bto-2019-02/Fernvale_Vines.pdf"" target=""_blank"">brochure</a>",,
Kallang/Whampoa,Kallang Breeze,HS-BTO,12 Feb 2019,3Q 2022,mature,411,"<a href=""/hdb-brochures/bto-2019-02/Kallang_Breeze.pdf"" target=""_blank"">brochure</a>",,
Kallang/Whampoa,Towner Crest,HS-BTO,12 Feb 2019,3Q 2023,mature,444,"<a href=""/hdb-brochures/bto-2019-02/Towner_Crest.pdf"" target=""_blank"">brochure</a>",,
Sembawang,EastGlen @ Canberra,HS-BTO,13 Nov 2018,4Q 2020,non-m,310,"<a href=""/hdb-brochures/bto-2018-11/EastGlen_@_Canberra.pdf"" target=""_blank"">brochure</a>",,
Sengkang,Fernvale Acres,HS-BTO,13 Nov 2018,1Q 2021,non-m,330,"<a href=""/hdb-brochures/bto-2018-11/Fernvale_Acres.pdf"" target=""_blank"">brochure</a>",,
Tengah,Plantation Grove,HS-BTO,13 Nov 2018,2Q 2023 - 3Q 2023,non-m,1620,"<a href=""/hdb-brochures/bto-2018-11/Plantation_Grove.pdf"" target=""_blank"">brochure</a>",,
Yishun,Melody Spring @ Yishun,HS-BTO,13 Nov 2018,4Q 2020,non-m,456,"<a href=""/hdb-brochures/bto-2018-11/Melody_Spring_@_Yishun.pdf"" target=""_blank"">brochure</a>",,
Tampines,Tampines GreenGem,HS-BTO,13 Nov 2018,1Q 2023 - 2Q 2023,mature,1086,"<a href=""/hdb-brochures/bto-2018-11/Tampines_GreenGem.pdf"" target=""_blank"">brochure</a>",,
Punggol,Punggol Point Cove,HS-BTO,28 Aug 2018,1Q 2023 - 2Q 2023,non-m,1172,"<a href=""/hdb-brochures/bto-2018-08/Punggol_Point_Cove.pdf"" target=""_blank"">brochure</a>",,
Punggol,Punggol Point Woods,HS-BTO,28 Aug 2018,1Q 2023 - 2Q 2023,non-m,940,"<a href=""/hdb-brochures/bto-2018-08/Punggol_Point_Woods.pdf"" target=""_blank"">brochure</a>",,
Yishun,Melody Spring @ Yishun,HS-BTO,28 Aug 2018,4Q 2021,mature,570,"<a href=""/hdb-brochures/bto-2018-08/Melody_Spring_@_Yishun.pdf"" target=""_blank"">brochure</a>",,
Yishun,Yishun Glen,HS-BTO,28 Aug 2018,4Q 2021 - 2Q 2022,mature,1693,"<a href=""/hdb-brochures/bto-2018-08/Yishun_Glen.pdf"" target=""_blank"">brochure</a>",,
Sengkang,Fernvale Dew,HS-BTO,22 May 2018,1Q 2022 - 2Q 2022,non-m,1188,"<a href=""/hdb-brochures/bto-2018-05/Fernvale_Dew.pdf"" target=""_blank"">brochure</a>",,
Yishun,Casa Spring @ Yishun,HS-BTO,22 May 2018,3Q 2021 - 4Q 2021,non-m,969,"<a href=""/hdb-brochures/bto-2018-05/Casa_Spring_@_Yishun.pdf"" target=""_blank"">brochure</a>",,
Tampines,Tampines GreenVines,HS-BTO,22 May 2018,1Q 2022 - 2Q 2022,mature,1271,"<a href=""/hdb-brochures/bto-2018-05/Tampines_GreenVines.pdf"" target=""_blank"">brochure</a>",,
Toa Payoh,Kim Keat Beacon,HS-BTO,22 May 2018,2Q 2022 - 3Q 2022,mature,542,"<a href=""/hdb-brochures/bto-2018-05/Kim_Keat_Beacon.pdf"" target=""_blank"">brochure</a>",,
Choa Chu Kang,Teck Whye View,HS-BTO,06 Feb 2018,2Q 2022,non-m,574,"<a href=""/hdb-brochures/bto-2018-02/Teck_Whye_View.pdf"" target=""_blank"">brochure</a>",,
Woodlands,Woodlands Glade,HS-BTO,06 Feb 2018,4Q 2021,non-m,629,"<a href=""/hdb-brochures/bto-2018-02/Woodlands_Glade.pdf"" target=""_blank"">brochure</a>",,
Geylang,Ubi Grove,HS-BTO,06 Feb 2018,4Q 2021 - 1Q 2022,mature,1193,"<a href=""/hdb-brochures/bto-2018-02/Ubi_Grove.pdf"" target=""_blank"">brochure</a>",,
Tampines,Tampines GreenDew,HS-BTO,06 Feb 2018,3Q 2021,mature,726,"<a href=""/hdb-brochures/bto-2018-02/Tampines_GreenDew.pdf"" target=""_blank"">brochure</a>",,
Tampines,Tampines GreenFoliage,HS-BTO,06 Feb 2018,3Q 2021,mature,542,"<a href=""/hdb-brochures/bto-2018-02/Tampines_GreenFoliage.pdf"" target=""_blank"">brochure</a>",,
Punggol,Northshore Edge,HS-BTO,14 Nov 2017,4Q 2021,non-m,388,"<a href=""/hdb-brochures/bto-2017-11/Northshore_Edge.pdf"" target=""_blank"">brochure</a>",,
Sengkang,Anchorvale Village,HS-BTO,14 Nov 2017,1Q 2022,non-m,207,"<a href=""/hdb-brochures/bto-2017-11/Anchorvale_Village.pdf"" target=""_blank"">brochure</a>",,
Sengkang,Fernvale Glades,HS-BTO,14 Nov 2017,2Q 2021 - 3Q 2021,non-m,1300,"<a href=""/hdb-brochures/bto-2017-11/Fernvale_Glades.pdf"" target=""_blank"">brochure</a>",,
Geylang,Eunos Court,HS-BTO,14 Nov 2017,2Q 2022,mature,742,"<a href=""/hdb-brochures/bto-2017-11/Eunos_Court.pdf"" target=""_blank"">brochure</a>",,
Tampines,Tampines GreenCourt,HS-BTO,14 Nov 2017,4Q 2021 - 2Q 2022,mature,2192,"<a href=""/hdb-brochures/bto-2017-11/Tampines_GreenCourt.pdf"" target=""_blank"">brochure</a>",,
Bukit Batok,Sky Vista @ Bukit Batok,HS-BTO,01 Aug 2017,1Q 2022,non-m,257,"<a href=""/hdb-brochures/bto-2017-08/Sky_Vista_@_Bukit_Batok.pdf"" target=""_blank"">brochure</a>",,
Bukit Batok,West Scape @ Bukit Batok,HS-BTO,01 Aug 2017,3Q 2021 - 4Q 2021,non-m,1140,"<a href=""/hdb-brochures/bto-2017-08/West_Scape_@_Bukit_Batok.pdf"" target=""_blank"">brochure</a>",,
Sengkang,Rivervale Shores,HS-BTO,01 Aug 2017,2Q 2022 - 3Q 2022,non-m,2500,"<a href=""/hdb-brochures/bto-2017-08/Rivervale_Shores.pdf"" target=""_blank"">brochure</a>",,
Woodlands,Marsiling Grove,HS-BTO,18 May 2017,1Q 2022,non-m,1246,"<a href=""/hdb-brochures/bto-2017-05/Marsiling_Grove.pdf"" target=""_blank"">brochure</a>",,
Woodlands,Woodlands Spring,HS-BTO,18 May 2017,4Q 2020,non-m,172,"<a href=""/hdb-brochures/bto-2017-05/Woodlands_Spring.pdf"" target=""_blank"">brochure</a>",,
Yishun,Forest Spring @ Yishun,HS-BTO,18 May 2017,2Q 2021 - 3Q 2021,non-m,756,"<a href=""/hdb-brochures/bto-2017-05/Forest_Spring_@_Yishun.pdf"" target=""_blank"">brochure</a>",,
Bidadari,Woodleigh Hillside,HS-BTO,18 May 2017,1Q 2022 - 2Q 2022,mature,1355,"<a href=""/hdb-brochures/bto-2017-05/Woodleigh_Hillside.pdf"" target=""_blank"">brochure</a>",,
Geylang,Dakota Breeze,HS-BTO,18 May 2017,2Q 2021,mature,954,"<a href=""/hdb-brochures/bto-2017-05/Dakota_Breeze.pdf"" target=""_blank"">brochure</a>",,
Geylang,Pine Vista,HS-BTO,18 May 2017,4Q 2020,mature,319,"<a href=""/hdb-brochures/bto-2017-05/Pine_Vista.pdf"" target=""_blank"">brochure</a>",,
Punggol,Northshore Cove,HS-BTO,14 Feb 2017,3Q 2021,non-m,801,"<a href=""/hdb-brochures/bto-2017-02/Northshore_Cove.pdf"" target=""_blank"">brochure</a>",,
Punggol,Waterway Sunrise II,HS-BTO,14 Feb 2017,1Q 2021 - 2Q 2021,non-m,1014,"<a href=""/hdb-brochures/bto-2017-02/Waterway_Sunrise_II.pdf"" target=""_blank"">brochure</a>",,
Clementi,Clementi NorthArc,HS-BTO,14 Feb 2017,1Q 2022 - 2Q 2022,mature,1179,"<a href=""/hdb-brochures/bto-2017-02/Clementi_NorthArc.pdf"" target=""_blank"">brochure</a>",,
Clementi,Clementi Peaks,HS-BTO,14 Feb 2017,2Q 2022,mature,424,"<a href=""/hdb-brochures/bto-2017-02/Clementi_Peaks.pdf"" target=""_blank"">brochure</a>",,
Tampines,Tampines GreenBloom,HS-BTO,14 Feb 2017,3Q 2020,mature,319,"<a href=""/hdb-brochures/bto-2017-02/Tampines_GreenBloom.pdf"" target=""_blank"">brochure</a>",,
Tampines,Tampines GreenFlora,HS-BTO,14 Feb 2017,3Q 2020,mature,319,"<a href=""/hdb-brochures/bto-2017-02/Tampines_GreenFlora.pdf"" target=""_blank"">brochure</a>",,
Punggol,Matilda Sundeck,HS-BTO,22 Nov 2016,3Q 2020,non-m,490,"<a href=""/hdb-brochures/bto-2016-11/Matilda_Sundeck.pdf"" target=""_blank"">brochure</a>",,
Punggol,Northshore Trio,HS-BTO,22 Nov 2016,3Q 2021,non-m,409,"<a href=""/hdb-brochures/bto-2016-11/Northshore_Trio.pdf"" target=""_blank"">brochure</a>",,
Punggol,Waterway Sunrise I,HS-BTO,22 Nov 2016,4Q 2020 - 1Q 2021,non-m,1295,"<a href=""/hdb-brochures/bto-2016-11/Waterway_Sunrise_1.pdf"" target=""_blank"">brochure</a>",,
Bedok,Bedok Beacon,HS-BTO,22 Nov 2016,2Q 2021,mature,500,"<a href=""/hdb-brochures/bto-2016-11/Bedok_Beacon.pdf"" target=""_blank"">brochure</a>",,
Bedok,Bedok North Vale,HS-BTO,22 Nov 2016,2Q 2020,mature,215,"<a href=""/hdb-brochures/bto-2016-11/Bedok_North_Vale.pdf"" target=""_blank"">brochure</a>",,
Bedok,Bedok South Horizon,HS-BTO,22 Nov 2016,4Q 2020 - 1Q 2021,mature,940,"<a href=""/hdb-brochures/bto-2016-11/Bedok_South_Horizon.pdf"" target=""_blank"">brochure</a>",,
Bidadari,Woodleigh Glen,HS-BTO,22 Nov 2016,2Q 2021,mature,688,"<a href=""/hdb-brochures/bto-2016-11/Woodleigh_Glen.pdf"" target=""_blank"">brochure</a>",,
Bidadari,Woodleigh Village,HS-BTO,22 Nov 2016,3Q 2021,mature,330,"<a href=""/hdb-brochures/bto-2016-11/Woodleigh_Village.pdf"" target=""_blank"">brochure</a>",,
Kallang/Whampoa,Kallang Residences,HS-BTO,22 Nov 2016,4Q 2021,mature,243,"<a href=""/hdb-brochures/bto-2016-11/Kallang_Residences.pdf"" target=""_blank"">brochure</a>",,
Hougang,Buangkok Woods,HS-BTO,17 Aug 2016,4Q 2019,non-m,711,"<a href=""/hdb-brochures/bto-2016-08/Buangkok_Woods.pdf"" target=""_blank"">brochure</a>",,
Sembawang,EastDelta @ Canberra,HS-BTO,17 Aug 2016,3Q 2019 - 4Q 2019,non-m,570,"<a href=""/hdb-brochures/bto-2016-08/EastDelta@Canberra.pdf"" target=""_blank"">brochure</a>",,
Yishun,Valley Spring @ Yishun,HS-BTO,17 Aug 2016,4Q 2019 - 1Q 2020,non-m,824,"<a href=""/hdb-brochures/bto-2016-08/Valley_Spring@Yishun.pdf"" target=""_blank"">brochure</a>",,
Tampines,Tampines GreenView,HS-BTO,17 Aug 2016,3Q 2019 - 4Q 2019,mature,714,"<a href=""/hdb-brochures/bto-2016-08/Tampines_GreenView.pdf"" target=""_blank"">brochure</a>",,
Tampines,Tampines GreenVerge,HS-BTO,17 Aug 2016,3Q 2020 - 1Q 2021,mature,2022,"<a href=""/hdb-brochures/bto-2016-08/Tampines_GreenVerge.pdf"" target=""_blank"">brochure</a>",,
Bukit Panjang,Senja Heights,HS-BTO,24 May 2016,3Q 2021,non-m,552,"<a href=""/hdb-brochures/bto-2016-05/Senja_Heights.pdf"" target=""_blank"">brochure</a>",,
Bukit Panjang,Senja Ridges,HS-BTO,24 May 2016,2Q 2021,non-m,230,"<a href=""/hdb-brochures/bto-2016-05/Senja Ridges.pdf"" target=""_blank"">brochure</a>",,
Bukit Panjang,Senja Valley,HS-BTO,24 May 2016,4Q 2021,non-m,789,"<a href=""/hdb-brochures/bto-2016-05/Senja Valley.pdf"" target=""_blank"">brochure</a>",,
Sembawang,EastCreek @ Canberra,HS-BTO,24 May 2016,4Q 2019,non-m,1252,"<a href=""/hdb-brochures/bto-2016-05/EastCreek_Canberra.pdf"" target=""_blank"">brochure</a>",,
Ang Mo Kio,Ang Mo Kio Court,HS-BTO,24 May 2016,3Q 2020,mature,590,"<a href=""/hdb-brochures/bto-2016-05/Ang Mo Kio Court.pdf"" target=""_blank"">brochure</a>",,
Bedok,Bedok North Woods,HS-BTO,24 May 2016,2Q 2020,mature,357,"<a href=""/hdb-brochures/bto-2016-05/Bedok_North_Woods.pdf"" target=""_blank"">brochure</a>",,
Bidadari,Alkaff Oasis,HS-BTO,24 Feb 2016,4Q 2020,mature,1594,"<a href=""/hdb-brochures/bto-2016-02/Alkaff_Oasis.pdf"" target=""_blank"">brochure</a>",,
Bukit Batok,West Plains @ Bukit Batok,HS-BTO,24 Feb 2016,2Q 2020,non-m,1655,"<a href=""/hdb-brochures/bto-2016-02/West_Plains@Bukit_Batok.pdf"" target=""_blank"">brochure</a>",,
Sengkang,Anchorvale Plains,HS-BTO,24 Feb 2016,1Q 2020,non-m,921,"<a href=""/hdb-brochures/bto-2016-02/Anchorvale_Plains.pdf"" target=""_blank"">brochure</a>",,
Bidadari,Alkaff CourtView,HS-BTO,17 Nov 2015,2Q 2020,mature,1258,"<a href=""/hdb-brochures/bto-2015-11/Alkaff_CourtView_Alkaff_LakeView.pdf"" target=""_blank"">brochure</a>",,
Bidadari,Alkaff LakeView,HS-BTO,17 Nov 2015,4Q 2019,mature,531,"<a href=""/hdb-brochures/bto-2015-11/Alkaff_CourtView_Alkaff_LakeView.pdf"" target=""_blank"">brochure</a>",,
Bidadari,Alkaff Vista,HS-BTO,17 Nov 2015,3Q 2019,mature,350,"<a href=""/hdb-brochures/bto-2015-11/Alkaff_Vista.pdf"" target=""_blank"">brochure</a>",,
Bukit Batok,West Quarry @ Bukit Batok,HS-BTO,17 Nov 2015,2Q 2019,non-m,636,"<a href=""/hdb-brochures/bto-2015-11/West_Quarry@Bukit_Batok.pdf"" target=""_blank"">brochure</a>",,
Choa Chu Kang,Teck Whye Vista,HS-BTO,17 Nov 2015,2Q 2020,non-m,126,"<a href=""/hdb-brochures/bto-2015-11/Teck_Whye_Vista.pdf"" target=""_blank"">brochure</a>",,
Hougang,Hougang RiverCourt,HS-BTO,17 Nov 2015,3Q 2020,non-m,285,"<a href=""/hdb-brochures/bto-2015-11/Hougang_RiverCourt.pdf"" target=""_blank"">brochure</a>",,
Punggol,Waterfront I @ Northshore,HS-BTO,17 Nov 2015,4Q 2020,non-m,791,"<a href=""/hdb-brochures/bto-2015-11/Waterfront_I_II@Northshore.pdf"" target=""_blank"">brochure</a>",,
Punggol,Waterfront II @ Northshore,HS-BTO,17 Nov 2015,4Q 2020,non-m,903,"<a href=""/hdb-brochures/bto-2015-11/Waterfront_I_II@Northshore.pdf"" target=""_blank"">brochure</a>",,
Punggol,Northshore StraitsView,HS-BTO,17 Nov 2015,3Q 2020,non-m,1021,"<a href=""/hdb-brochures/bto-2015-11/Northshore_StraitsView.pdf"" target=""_blank"">brochure</a>",,
Sengkang,Fernvale Woods,HS-BTO,17 Nov 2015,3Q 2019,non-m,1160,"<a href=""/hdb-brochures/bto-2015-11/Fernvale_Woods.pdf"" target=""_blank"">brochure</a>",,
Clementi,Clementi Crest,HS-BTO,27 May 2015,2Q 2020,mature,385,"<a href=""/hdb-brochures/bto-2015-05/Clementi_Crest.pdf"" target=""_blank"">brochure</a>",,
Punggol,Northshore Residences I,HS-BTO,27 May 2015,2Q 2020,non-m,588,"<a href=""/hdb-brochures/bto-2015-05/Northshore_ResidencesI_II.pdf"" target=""_blank"">brochure</a>",,
Punggol,Northshore Residences II,HS-BTO,27 May 2015,2Q 2020,non-m,814,"<a href=""/hdb-brochures/bto-2015-05/Northshore_ResidencesI_II.pdf"" target=""_blank"">brochure</a>",,
Sembawang,EastLink I @ Canberra,HS-BTO,27 May 2015,3Q 2019,non-m,600,"<a href=""/hdb-brochures/bto-2015-05/EastLinkI_II@Canberra.pdf"" target=""_blank"">brochure</a>",,
Sembawang,EastLink II @ Canberra,HS-BTO,27 May 2015,2Q 2019,non-m,441,"<a href=""/hdb-brochures/bto-2015-05/EastLinkI_II@Canberra.pdf"" target=""_blank"">brochure</a>",,
Tampines,Tampines GreenWeave,HS-BTO,27 May 2015,3Q 2019,mature,1216,"<a href=""/hdb-brochures/bto-2015-05/Tampines_GreenWeave.pdf"" target=""_blank"">brochure</a>",,
Bukit Batok,West Edge @ Bukit Batok,HS-BTO,11 Feb 2015,1Q 2019,non-m,1594,"<a href=""/hdb-brochures/bto-2015-02/West_Edge_Bukit_Batok.pdf"" target=""_blank"">brochure</a>",,
Bukit Batok,West Rock @ Bukit Batok,HS-BTO,11 Feb 2015,3Q 2018,non-m,448,"<a href=""/hdb-brochures/bto-2015-02/West_Rock_Bukit_Batok.pdf"" target=""_blank"">brochure</a>",,
Hougang,Buangkok Parkvista,HS-BTO,11 Feb 2015,4Q 2018,non-m,485,"<a href=""/hdb-brochures/bto-2015-02/Buangkok_ParkVista.pdf"" target=""_blank"">brochure</a>",,
Hougang,Buangkok Tropica,HS-BTO,11 Feb 2015,3Q 2018,non-m,718,"<a href=""/hdb-brochures/bto-2015-02/Buangkok_Tropica.pdf"" target=""_blank"">brochure</a>",,
Geylang,MacPherson Spring,HS-BTO,11 Feb 2015,2Q 2019,mature,750,"<a href=""/hdb-brochures/bto-2015-02/MacPherson_Spring.pdf"" target=""_blank"">brochure</a>",,
Sembawang,Sun Breeze,HS-BTO,25 Nov 2014,1Q 2018,non-m,700,"<a href=""/hdb-brochures/bto-2014-11/Sun_Breeze.pdf"" target=""_blank"">brochure</a>",,
Sengkang,Anchorvale Fields,HS-BTO,25 Nov 2014,2Q 2018,non-m,511,"<a href=""/hdb-brochures/bto-2014-11/Anchorvale_Fields.pdf"" target=""_blank"">brochure</a>",,
Yishun,Blossom Spring @ Yishun,HS-BTO,25 Nov 2014,3Q 2018,non-m,650,"<a href=""/hdb-brochures/bto-2014-11/Blossom_Spring@Yishun.pdf"" target=""_blank"">brochure</a>",,
Yishun,Meadow Spring @ Yishun,HS-BTO,25 Nov 2014,4Q 2018,non-m,469,"<a href=""/hdb-brochures/bto-2014-11/Meadow_Spring@Yishun.pdf"" target=""_blank"">brochure</a>",,
Tampines,Tampines GreenEdge,HS-BTO,25 Nov 2014,4Q 2017,mature,451,"<a href=""/hdb-brochures/bto-2014-11/Tampines_GreenEdge.pdf"" target=""_blank"">brochure</a>",,
Tampines,Tampines GreenRidges,HS-BTO,25 Nov 2014,1Q 2019,mature,1496,"<a href=""/hdb-brochures/bto-2014-11/Tampines_GreenRidges.pdf"" target=""_blank"">brochure</a>",,
Bukit Batok,West Terra & Bukit Batok,HS-BTO,24 Sep 2014,1Q 2018,non-m,1793,"<a href=""/hdb-brochures/bto-2014-09/West_Terra@Bukit_Batok.pdf"" target=""_blank"">brochure</a>",,
Hougang,Buangkok Edgeview,HS-BTO,24 Sep 2014,4Q 2017,non-m,467,"<a href=""/hdb-brochures/bto-2014-09/Buangkok_Edgeview.pdf"" target=""_blank"">brochure</a>",,
Hougang,Buangkok Square,HS-BTO,24 Sep 2014,2Q 2018,non-m,725,"<a href=""/hdb-brochures/bto-2014-09/Buangkok_Square.pdf"" target=""_blank"">brochure</a>",,
Jurong West,Yung Ho Spring I,HS-BTO,24 Sep 2014,2Q 2018,non-m,641,"<a href=""/hdb-brochures/bto-2014-09/Yung_Ho_Spring_I&amp;II.pdf"" target=""_blank"">brochure</a>",,
Jurong West,Yung Ho Spring II,HS-BTO,24 Sep 2014,2Q 2018,non-m,266,"<a href=""/hdb-brochures/bto-2014-09/Yung_Ho_Spring_I&amp;II.pdf"" target=""_blank"">brochure</a>",,
Kallang/Whampoa,St. George's Towers,HS-BTO,24 Sep 2014,1Q 2019,mature,738,"<a href=""/hdb-brochures/bto-2014-09/St_Georges_Towers.pdf"" target=""_blank"">brochure</a>",,
Punggol,Matilda Court,HS-BTO,19 Jul 2014,4Q 2017,non-m,1162,"<a href=""/hdb-brochures/bto-2014-07/Matilda_Court.pdf"" target=""_blank"">brochure</a>",,
Punggol,Waterway Sunray,HS-BTO,19 Jul 2014,4Q 2017,non-m,582,"<a href=""/hdb-brochures/bto-2014-07/Waterway_Sunray.pdf"" target=""_blank"">brochure</a>",,
Sembawang,Sun Natura,HS-BTO,19 Jul 2014,2Q 2018,non-m,848,"<a href=""/hdb-brochures/bto-2014-07/Sun_Natura.pdf"" target=""_blank"">brochure</a>",,
Toa Payoh,Toa Payoh Apex,HS-BTO,19 Jul 2014,4Q 2018,mature,557,"<a href=""/hdb-brochures/bto-2014-07/Toa_Payoh_Apex.pdf"" target=""_blank"">brochure</a>",,
Woodlands,Kampung Admiralty,HS-BTO,19 Jul 2014,3Q 2017,non-m,104,"<a href=""/hdb-brochures/bto-2014-07/Kampung_Admiralty.pdf"" target=""_blank"">brochure</a>",,
Yishun,Park Grove @ Yishun,HS-BTO,19 Jul 2014,3Q 2017,non-m,588,"<a href=""/hdb-brochures/bto-2014-07/Park_Grove@Yishun.pdf"" target=""_blank"">brochure</a>",,
Bukit Batok,West Crest @ Bukit Batok,HS-BTO,22 May 2014,4Q 2017,non-m,495,"<a href=""/hdb-brochures/bto-2014-05/WestCrest@BukitBatok.pdf"" target=""_blank"">brochure</a>","<a href=""/hdb-brochures/bto-launch-2014-05/WestCrest_WestValley@BukitBatok_General_Info.pdf"" target=""blank"">info</a> <a href=""/hdb-brochures/bto-launch-2014-05/WestCrest@BukitBatok_Maps&amp;Plans.pdf"" target=""blank"">plans</a>",
Bukit Batok,West Valley @ Bukit Batok,HS-BTO,22 May 2014,1Q 2018,non-m,924,"<a href=""/hdb-brochures/bto-2014-05/WestValley@BukitBatok.pdf"" target=""_blank"">brochure</a>","<a href=""/hdb-brochures/bto-launch-2014-05/WestCrest_WestValley@BukitBatok_General_Info.pdf"" target=""blank"">info</a> <a href=""/hdb-brochures/bto-launch-2014-05/WestValley@BukitBatok_Maps&amp;Plans.pdf"" target=""blank"">plans</a>",
Woodlands,Admiralty Flora,HS-BTO,22 May 2014,2Q 2017,non-m,402,"<a href=""/hdb-brochures/bto-2014-05/AdmiraltyFlora.pdf"" target=""_blank"">brochure</a>","<a href=""/hdb-brochures/bto-launch-2014-05/AdmiraltyFlora_MarsilingGreenview_General_Info.pdf"" target=""blank"">info</a> <a href=""/hdb-brochures/bto-launch-2014-05/AdmiraltyFlora_Maps&amp;Plans.pdf"" target=""blank"">plans</a>",
Woodlands,Marsiling Greenview,HS-BTO,22 May 2014,3Q 2018,non-m,1304,"<a href=""/hdb-brochures/bto-2014-05/MarsilingGreenview.pdf"" target=""_blank"">brochure</a>","<a href=""/hdb-brochures/bto-launch-2014-05/AdmiraltyFlora_MarsilingGreenview_General_Info.pdf"" target=""blank"">info</a> <a href=""/hdb-brochures/bto-launch-2014-05/MarsilingGreenview_Maps&amp;Plans.pdf"" target=""blank"">plans</a>",
Sembawang,EastCrown @ Canberra,HS-BTO,26 Mar 2014,3Q 2017,non-m,1220,"<a href=""/hdb-brochures/bto-2014-03/EastCrown@Canberra.pdf"" target=""_blank"">brochure</a>","<a href=""/hdb-brochures/bto-launch-2014-03/EastCrown@Canberra_EastLace@Canberra_General_Info.pdf"" target=""blank"">info</a> <a href=""/hdb-brochures/bto-launch-2014-03/EastCrown@Canberra_Maps&amp;Plans.pdf"" target=""blank"">plans</a>",
Sembawang,EastLace @ Camberra,HS-BTO,26 Mar 2014,2Q 2017,non-m,480,"<a href=""/hdb-brochures/bto-2014-03/EastLace@Canberra.pdf"" target=""_blank"">brochure</a>","<a href=""/hdb-brochures/bto-launch-2014-03/EastCrown@Canberra_EastLace@Canberra_General_Info.pdf"" target=""blank"">info</a> <a href=""/hdb-brochures/bto-launch-2014-03/EastLace@Canberra_Maps&amp;Plans.pdf"" target=""blank"">plans</a>",
Sengkang,Anchorvale Parkview,HS-BTO,26 Mar 2014,1Q 2017,non-m,503,"<a href=""/hdb-brochures/bto-2014-03/AnchorvaleParkview.pdf"" target=""_blank"">brochure</a>","<a href=""/hdb-brochures/bto-launch-2014-03/AnchorvaleParkview_General_Info.pdf"" target=""blank"">info</a> <a href=""/hdb-brochures/bto-launch-2014-03/AnchorvaleParkview_Maps&amp;Plans.pdf"" target=""blank"">plans</a>",
Yishun,Fern Grove @ Yishun,HS-BTO,26 Mar 2014,4Q 2017,non-m,1294,"<a href=""/hdb-brochures/bto-2014-03/FernGrove@Yishun.pdf"" target=""_blank"">brochure</a>","<a href=""/hdb-brochures/bto-launch-2014-03/FernGrove@Yishun_General_Info.pdf"" target=""blank"">info</a> <a href=""/hdb-brochures/bto-launch-2014-03/FernGrove@Yishun_Maps&amp;Plans.pdf"" target=""blank"">plans</a>",
